Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Exchange,Ticker_Exchange
2021-12-01,92.19999694824219,93.83999633789062,91.94999694824219,91.9800033569336,91.16593933105469,4237700.0,TD,TO,TD_TO
2021-12-02,93.83999633789062,96.75,93.37000274658203,96.5,95.64592742919922,6046700.0,TD,TO,TD_TO
2021-12-03,96.18000030517578,96.29000091552734,95.25,95.58999633789062,94.74398040771484,4197900.0,TD,TO,TD_TO
2021-12-06,96.0,96.26000213623047,94.38999938964844,94.44999694824219,93.61407470703125,3536400.0,TD,TO,TD_TO
2021-12-07,94.75,95.38999938964844,94.73999786376953,94.9000015258789,94.06009674072266,3691300.0,TD,TO,TD_TO
2021-12-08,95.1500015258789,95.66000366210938,94.83000183105469,95.44999694824219,94.605224609375,3650000.0,TD,TO,TD_TO
2021-12-09,95.05000305175781,95.55999755859375,94.75,95.44000244140625,94.5953140258789,2784600.0,TD,TO,TD_TO
2021-12-10,95.62000274658203,95.9000015258789,95.1500015258789,95.33000183105469,94.48628997802734,6767500.0,TD,TO,TD_TO
2021-12-13,95.37999725341797,95.5,94.56999969482422,95.08999633789062,94.24840545654297,7536200.0,TD,TO,TD_TO
2021-12-14,94.80000305175781,95.87000274658203,94.58999633789062,94.75,93.91142272949219,3544200.0,TD,TO,TD_TO
2021-12-15,94.94999694824219,95.51000213623047,94.73999786376953,95.2300033569336,94.38717651367188,4826000.0,TD,TO,TD_TO
2021-12-16,95.66999816894531,96.79000091552734,95.37999725341797,95.55999755859375,94.71424865722656,3719600.0,TD,TO,TD_TO
2021-12-17,93.27999877929688,95.11000061035156,93.27999877929688,94.12000274658203,93.28699493408203,9178400.0,TD,TO,TD_TO
2021-12-20,93.6500015258789,94.2699966430664,93.1500015258789,93.9800033569336,93.14823913574219,3026600.0,TD,TO,TD_TO
2021-12-21,94.68000030517578,94.97000122070312,94.4000015258789,94.69999694824219,93.86186218261719,2625500.0,TD,TO,TD_TO
2021-12-22,94.5999984741211,95.43000030517578,94.52999877929688,95.41000366210938,94.56558227539062,4831600.0,TD,TO,TD_TO
2021-12-23,95.75,96.47000122070312,95.69999694824219,96.20999908447266,95.3584976196289,3796300.0,TD,TO,TD_TO
2021-12-24,96.27999877929688,96.48999786376953,96.23999786376953,96.30000305175781,95.44770050048828,411600.0,TD,TO,TD_TO
2021-12-29,97.37999725341797,98.20999908447266,97.37999725341797,97.51000213623047,96.6469955444336,3427500.0,TD,TO,TD_TO
2021-12-30,97.5,97.97000122070312,97.18000030517578,97.23999786376953,96.37937927246094,1721100.0,TD,TO,TD_TO
2021-12-31,97.23999786376953,97.44999694824219,96.69000244140625,96.9800033569336,96.12168884277344,4203900.0,TD,TO,TD_TO
2022-01-04,98.75,99.91999816894531,98.72000122070312,99.3499984741211,98.470703125,19859700.0,TD,TO,TD_TO
2022-01-05,99.98999786376953,101.08000183105469,99.77999877929688,99.94999694824219,99.06539154052734,15726700.0,TD,TO,TD_TO
2022-01-06,101.0,101.06999969482422,100.2300033569336,100.55999755859375,99.66999816894531,10936600.0,TD,TO,TD_TO
2022-01-07,99.94999694824219,100.4000015258789,99.5,100.13999938964844,100.13999938964844,10887500.0,TD,TO,TD_TO
2022-01-10,100.08000183105469,100.43000030517578,99.22000122070312,99.7300033569336,99.7300033569336,8779700.0,TD,TO,TD_TO
2022-01-11,99.80000305175781,100.80999755859375,99.75,100.6500015258789,100.6500015258789,10349200.0,TD,TO,TD_TO
2022-01-12,100.37999725341797,101.4800033569336,100.37999725341797,101.43000030517578,101.43000030517578,8416500.0,TD,TO,TD_TO
2022-01-13,101.66000366210938,102.62000274658203,101.66000366210938,101.7300033569336,101.7300033569336,11638200.0,TD,TO,TD_TO
2022-01-14,101.19999694824219,102.8499984741211,100.75,102.45999908447266,102.45999908447266,10785600.0,TD,TO,TD_TO
2022-01-17,102.45999908447266,104.16999816894531,102.44999694824219,104.1500015258789,104.1500015258789,2209400.0,TD,TO,TD_TO
2022-01-18,103.5,104.04000091552734,103.04000091552734,103.29000091552734,103.29000091552734,5836200.0,TD,TO,TD_TO
2022-01-19,103.31999969482422,103.3499984741211,101.20999908447266,101.62999725341797,101.62999725341797,6599200.0,TD,TO,TD_TO
2022-01-20,101.61000061035156,102.77999877929688,101.19000244140625,101.76000213623047,101.76000213623047,4501100.0,TD,TO,TD_TO
2022-01-21,100.98999786376953,101.55999755859375,99.77999877929688,100.30000305175781,100.30000305175781,7723500.0,TD,TO,TD_TO
2022-01-24,98.29000091552734,99.20999908447266,96.88999938964844,99.20999908447266,99.20999908447266,9567500.0,TD,TO,TD_TO
2022-01-25,98.41000366210938,100.44999694824219,97.68000030517578,99.87000274658203,99.87000274658203,6051400.0,TD,TO,TD_TO
2022-01-26,101.16999816894531,101.16999816894531,99.58999633789062,100.22000122070312,100.22000122070312,4412900.0,TD,TO,TD_TO
2022-01-27,101.18000030517578,101.95999908447266,100.12000274658203,100.69000244140625,100.69000244140625,3881200.0,TD,TO,TD_TO
2022-01-28,100.7699966430664,100.7699966430664,99.13999938964844,100.20999908447266,100.20999908447266,3451800.0,TD,TO,TD_TO
2022-01-31,99.9000015258789,101.80999755859375,99.48999786376953,101.80999755859375,101.80999755859375,5210300.0,TD,TO,TD_TO
2022-02-01,101.72000122070312,103.54000091552734,101.5,103.5,103.5,4127500.0,TD,TO,TD_TO
